x,y,RSSIA,RSSIB,RSSIC,RP
3.88,0.64,52,46,63,C2
3.88,0.64,52,46,59,C2
3.88,0.64,52,46,59,C2
3.88,0.64,50,46,64,C2
3.88,0.64,50,46,64,C2
3.88,0.64,52,46,65,C2
3.88,0.64,52,46,65,C2
3.88,0.64,52,46,65,C2
3.88,0.64,52,46,65,C2
3.88,0.64,52,45,58,C2
3.88,0.64,52,45,58,C2
3.88,0.64,52,45,62,C2
3.88,0.64,52,45,62,C2
3.88,0.64,53,47,63,C2
3.88,0.64,53,47,63,C2
3.88,0.64,52,47,66,C2
3.88,0.64,52,47,66,C2
3.88,0.64,51,48,61,C2
3.88,0.64,51,48,61,C2
3.88,0.64,52,48,60,C2
3.88,0.64,52,48,60,C2
3.88,0.64,52,49,60,C2
3.88,0.64,52,49,60,C2
3.88,0.64,52,48,59,C2
3.88,0.64,52,48,59,C2
3.88,0.64,56,49,63,C2
3.88,0.64,56,49,63,C2
3.88,0.64,53,50,60,C2
3.88,0.64,53,50,60,C2
