x,y,RSSI A,RSSI B,RSSI C,RP
1.97,1.63,34,37,53,C2
3.27,1.63,36,38,54,D2
0.65,1.63,30,57,50,B2
1.97,3.42,46,29,58,C4
-0.61,0.78,31,34,45,A1
0.65,0.78,42,38,40,B1
-0.61,1.63,45,39,52,A2
1.97,3.42,24,39,54,C4
1.97,1.63,31,33,58,C2
3.27,0.78,32,36,51,D1
0.65,1.63,42,34,55,B2
3.27,2.56,48,38,55,D3
-0.61,1.63,45,40,36,A2
0.65,3.42,37,44,48,B4
-0.61,3.42,26,36,43,A4
0.65,1.63,38,35,45,B2
1.97,0.78,40,35,48,C1
1.97,3.42,44,31,58,C4
3.27,1.63,35,31,60,D2
0.65,1.63,33,44,46,B2
-0.61,3.42,41,41,45,A4
1.97,3.42,28,39,54,C4
3.27,0.78,40,32,47,D1
1.97,0.78,24,46,45,C1
3.27,3.42,25,32,55,D4
1.97,1.63,28,32,55,C2
-0.61,2.56,32,32,34,A3
3.27,1.63,37,37,56,D2
-0.61,1.63,34,36,32,A2
0.65,0.78,22,37,35,B1
-0.61,0.78,38,34,50,A1
0.65,2.56,28,33,42,B3
-0.61,1.63,49,42,50,A2
-0.61,2.56,46,30,42,A3
1.97,1.63,28,32,55,C2
-0.61,2.56,44,31,55,A3
0.65,0.78,39,40,44,B1
1.97,1.63,38,37,44,C2
0.65,2.56,40,33,55,B3
3.27,3.42,30,41,40,D4
0.65,3.42,33,52,51,B4
3.27,0.78,49,32,40,D1
1.97,1.63,43,36,37,C2
1.97,0.78,40,33,51,C1
3.27,2.56,39,39,57,D3
0.65,3.42,43,39,47,B4
-0.61,2.56,40,29,54,A3
3.27,0.78,31,45,50,D1
3.27,2.56,34,30,49,D3
0.65,3.42,49,34,53,B4
0.65,2.56,41,34,52,B3
1.97,1.63,25,38,43,C2
-0.61,0.78,50,34,42,A1
3.27,2.56,37,49,53,D3
1.97,1.63,31,44,56,C2
3.27,0.78,37,40,53,D1
1.97,1.63,34,49,55,C2
0.65,2.56,43,44,48,B3
0.65,2.56,31,40,35,B3
1.97,1.63,32,38,38,C2
0.65,0.78,41,35,56,B1
-0.61,3.42,24,34,49,A4
0.65,3.42,23,35,51,B4
3.27,2.56,24,38,23,D3
1.97,3.42,38,34,53,C4
0.65,1.63,48,33,52,B2
3.27,0.78,27,36,55,D1
-0.61,1.63,42,33,36,A2
0.65,0.78,51,45,51,B1
0.65,2.56,50,31,48,B3
1.97,0.78,43,37,39,C1
1.97,1.63,24,35,53,C2
-0.61,3.42,29,32,56,A4
3.27,1.63,43,33,58,D2
3.27,1.63,22,35,52,D2
1.97,1.63,33,41,54,C2
-0.61,1.63,25,36,54,A2
0.65,0.78,47,40,27,B1
3.27,1.63,32,40,43,D2
1.97,2.56,31,44,54,C3
3.27,2.56,44,43,28,D3
3.27,2.56,38,33,45,D3
3.27,1.63,40,39,34,D2
3.27,2.56,47,39,51,D3
1.97,0.78,29,42,39,C1
1.97,1.63,34,32,31,C2
0.65,1.63,36,40,46,B2
3.27,1.63,36,31,48,D2
1.97,3.42,31,30,55,C4
-0.61,1.63,35,37,38,A2
0.65,1.63,42,38,51,B2
0.65,2.56,27,40,28,B3
0.65,2.56,24,38,53,B3
3.27,1.63,35,33,31,D2
1.97,1.63,51,35,44,C2
1.97,0.78,44,42,43,C1
0.65,0.78,27,43,38,B1
0.65,3.42,49,30,43,B4
-0.61,0.78,32,34,38,A1
3.27,1.63,32,47,41,D2
0.65,2.56,25,36,58,B3
0.65,1.63,38,33,54,B2
1.97,1.63,32,51,48,C2
0.65,0.78,40,35,31,B1
3.27,1.63,42,34,42,D2
1.97,2.56,43,49,42,C3
0.65,0.78,25,47,50,B1
-0.61,0.78,37,39,58,A1
1.97,3.42,29,39,48,C4
0.65,2.56,34,34,51,B3
0.65,2.56,22,47,41,B3
1.97,3.42,33,44,40,C4
0.65,3.42,33,32,55,B4
3.27,3.42,24,32,46,D4
0.65,2.56,23,38,58,B3
0.65,2.56,37,35,52,B3
0.65,1.63,32,43,45,B2
-0.61,2.56,38,31,48,A3
0.65,0.78,47,35,23,B1
0.65,3.42,28,34,54,B4
-0.61,3.42,27,50,55,A4
0.65,1.63,35,51,36,B2
0.65,3.42,29,39,42,B4
0.65,1.63,33,35,54,B2
-0.61,0.78,35,39,30,A1
3.27,0.78,50,40,47,D1
1.97,1.63,47,35,29,C2
1.97,3.42,30,35,52,C4
-0.61,3.42,25,28,40,A4
3.27,2.56,33,32,52,D3
-0.61,1.63,34,32,48,A2
0.65,0.78,27,28,60,B1
0.65,0.78,53,43,57,B1
3.27,1.63,43,42,49,D2
-0.61,3.42,48,46,59,A4
0.65,3.42,44,38,47,B4
3.27,0.78,33,42,57,D1
-0.61,2.56,27,33,40,A3
0.65,2.56,29,39,42,B3
-0.61,3.42,31,46,58,A4
3.27,0.78,29,42,39,D1
-0.61,0.78,28,39,43,A1
-0.61,1.63,26,37,43,A2
3.27,2.56,46,33,58,D3
0.65,2.56,39,30,54,B3
0.65,0.78,33,40,55,B1
-0.61,1.63,31,35,42,A2
1.97,1.63,45,37,48,C2
-0.61,1.63,26,43,50,A2
-0.61,3.42,41,33,57,A4
0.65,0.78,47,39,25,B1
1.97,0.78,31,31,53,C1
0.65,2.56,40,38,36,B3
-0.61,0.78,26,34,46,A1
3.27,1.63,50,33,38,D2
3.27,2.56,36,38,52,D3
3.27,2.56,44,28,50,D3
1.97,0.78,32,35,29,C1
0.65,0.78,49,44,51,B1
-0.61,0.78,25,40,42,A1
3.27,3.42,29,36,47,D4
3.27,3.42,31,38,32,D4
-0.61,3.42,36,50,46,A4
1.97,0.78,32,32,52,C1
1.97,3.42,32,40,52,C4
-0.61,1.63,54,34,56,A2
0.65,1.63,41,31,51,B2
3.27,0.78,50,38,43,D1
1.97,3.42,21,45,53,C4
-0.61,2.56,34,43,50,A3
1.97,1.63,32,49,33,C2
3.27,0.78,32,34,59,D1
-0.61,2.56,29,36,43,A3
0.65,2.56,21,42,40,B3
1.97,3.42,39,36,48,C4
-0.61,3.42,47,32,45,A4
1.97,2.56,34,38,28,C3
3.27,0.78,29,38,52,D1
1.97,0.78,27,32,54,C1
3.27,2.56,27,35,42,D3
1.97,0.78,28,33,48,C1
-0.61,3.42,32,34,56,A4
3.27,3.42,26,36,31,D4
1.97,2.56,31,33,39,C3
-0.61,0.78,42,34,59,A1
-0.61,1.63,28,45,50,A2
3.27,1.63,22,45,51,D2
1.97,2.56,27,54,47,C3
-0.61,3.42,26,35,52,A4
0.65,3.42,33,34,47,B4
-0.61,0.78,39,36,41,A1
0.65,1.63,39,39,49,B2
3.27,2.56,35,56,57,D3
3.27,0.78,41,47,43,D1
1.97,2.56,43,42,43,C3
3.27,3.42,28,44,36,D4
3.27,0.78,33,34,41,D1
3.27,2.56,24,40,49,D3
-0.61,2.56,36,36,49,A3
0.65,2.56,37,39,44,B3
0.65,0.78,36,40,39,B1
0.65,1.63,38,33,51,B2
-0.61,2.56,25,39,51,A3
3.27,2.56,43,41,40,D3
1.97,0.78,35,42,56,C1
0.65,0.78,35,39,27,B1
-0.61,1.63,37,33,55,A2
3.27,2.56,40,42,26,D3
3.27,2.56,43,40,57,D3
-0.61,2.56,46,30,60,A3
-0.61,2.56,28,34,48,A3
0.65,2.56,42,38,54,B3
-0.61,2.56,37,31,53,A3
-0.61,0.78,27,37,58,A1
0.65,1.63,43,48,47,B2
3.27,3.42,29,35,40,D4
0.65,0.78,26,44,53,B1
3.27,1.63,27,35,46,D2
3.27,0.78,30,33,39,D1
1.97,3.42,41,39,44,C4
-0.61,1.63,38,34,47,A2
1.97,1.63,45,39,41,C2
1.97,3.42,43,40,53,C4
3.27,1.63,36,45,39,D2
0.65,2.56,40,35,31,B3
1.97,0.78,26,51,50,C1
0.65,2.56,49,41,41,B3
1.97,0.78,43,34,53,C1
-0.61,0.78,30,34,54,A1
1.97,0.78,53,32,46,C1
-0.61,3.42,30,49,55,A4
0.65,3.42,35,41,34,B4
1.97,1.63,39,50,37,C2
-0.61,2.56,33,35,42,A3
3.27,2.56,41,39,43,D3
-0.61,3.42,23,47,45,A4
0.65,1.63,29,34,48,B2
3.27,3.42,30,30,52,D4
3.27,1.63,45,49,44,D2
3.27,2.56,42,39,26,D3
3.27,2.56,36,55,42,D3
0.65,0.78,34,39,41,B1
0.65,2.56,25,34,55,B3
-0.61,3.42,26,32,55,A4
-0.61,2.56,27,40,58,A3
0.65,3.42,33,33,43,B4
0.65,0.78,26,37,57,B1
0.65,0.78,44,40,26,B1
1.97,3.42,24,33,35,C4
3.27,0.78,41,33,48,D1
1.97,3.42,39,39,53,C4
3.27,0.78,32,36,25,D1
-0.61,1.63,32,34,58,A2
1.97,2.56,39,34,55,C3
3.27,3.42,50,31,56,D4
-0.61,0.78,32,52,46,A1
3.27,2.56,27,50,48,D3
-0.61,2.56,39,28,54,A3
-0.61,1.63,35,34,57,A2
-0.61,3.42,29,43,43,A4
-0.61,1.63,35,42,51,A2
3.27,0.78,38,33,58,D1
0.65,0.78,29,37,48,B1
-0.61,3.42,39,34,51,A4
0.65,2.56,38,36,51,B3
1.97,2.56,34,38,35,C3
0.65,1.63,24,38,30,B2
0.65,3.42,30,35,37,B4
0.65,1.63,35,36,43,B2
3.27,1.63,32,37,50,D2
-0.61,2.56,33,38,56,A3
-0.61,2.56,45,40,45,A3
-0.61,0.78,48,33,57,A1
0.65,0.78,42,32,60,B1
1.97,2.56,38,32,59,C3
0.65,1.63,43,38,51,B2
1.97,3.42,26,36,28,C4
1.97,0.78,22,35,37,C1
3.27,2.56,31,35,51,D3
-0.61,0.78,32,36,45,A1
1.97,3.42,25,36,36,C4
1.97,2.56,43,38,44,C3
1.97,1.63,28,33,50,C2
1.97,3.42,26,38,40,C4
0.65,2.56,42,36,43,B3
-0.61,2.56,40,58,40,A3
0.65,3.42,51,49,36,B4
3.27,2.56,35,35,44,D3
0.65,2.56,49,47,48,B3
3.27,0.78,27,38,54,D1
3.27,0.78,53,41,49,D1
3.27,2.56,22,34,32,D3
0.65,0.78,38,40,49,B1
-0.61,3.42,42,32,49,A4
-0.61,1.63,29,40,41,A2
0.65,0.78,34,32,55,B1
0.65,0.78,40,38,26,B1
-0.61,1.63,32,44,43,A2
1.97,3.42,42,33,34,C4
-0.61,1.63,36,36,42,A2
0.65,2.56,23,42,49,B3
0.65,2.56,40,36,52,B3
-0.61,2.56,29,30,48,A3
0.65,2.56,41,52,49,B3
3.27,2.56,25,42,56,D3
1.97,0.78,41,46,53,C1
3.27,2.56,23,40,42,D3
3.27,2.56,49,38,56,D3
0.65,1.63,25,32,51,B2
-0.61,1.63,31,37,51,A2
-0.61,1.63,34,33,58,A2
3.27,2.56,25,41,45,D3
3.27,3.42,30,32,36,D4
1.97,0.78,30,34,32,C1
0.65,2.56,26,41,53,B3
0.65,3.42,34,38,55,B4
1.97,2.56,28,35,56,C3
1.97,3.42,34,32,51,C4
3.27,0.78,40,38,50,D1
1.97,1.63,25,47,45,C2
-0.61,1.63,35,35,54,A2
0.65,3.42,41,45,45,B4
0.65,1.63,46,37,49,B2
-0.61,0.78,45,42,42,A1
-0.61,0.78,34,45,50,A1
3.27,2.56,41,33,56,D3
3.27,0.78,37,33,53,D1
1.97,3.42,33,37,53,C4
3.27,1.63,29,38,43,D2
3.27,0.78,45,35,51,D1
-0.61,3.42,31,33,46,A4
3.27,2.56,33,37,52,D3
-0.61,1.63,35,34,42,A2
1.97,1.63,22,47,48,C2
-0.61,0.78,47,38,50,A1
3.27,3.42,24,40,41,D4
0.65,2.56,45,32,50,B3
1.97,2.56,38,57,38,C3
-0.61,2.56,36,32,36,A3
3.27,2.56,47,31,45,D3
-0.61,3.42,49,36,45,A4
1.97,1.63,37,34,57,C2
0.65,0.78,35,34,49,B1
-0.61,3.42,42,32,51,A4
3.27,3.42,41,40,60,D4
-0.61,0.78,31,31,58,A1
-0.61,0.78,38,36,36,A1
-0.61,1.63,42,36,49,A2
-0.61,2.56,36,36,47,A3
3.27,1.63,28,35,39,D2
0.65,1.63,38,37,55,B2
1.97,2.56,38,32,57,C3
-0.61,1.63,39,35,54,A2
-0.61,0.78,41,42,40,A1
3.27,3.42,25,37,55,D4
1.97,1.63,27,37,55,C2
3.27,2.56,46,39,47,D3
-0.61,3.42,39,37,42,A4
1.97,2.56,30,35,50,C3
-0.61,3.42,27,41,43,A4
3.27,2.56,33,46,45,D3
0.65,0.78,23,48,57,B1
3.27,1.63,32,35,45,D2
1.97,2.56,27,29,51,C3
-0.61,1.63,47,37,47,A2
1.97,0.78,28,30,60,C1
3.27,0.78,23,36,39,D1
-0.61,2.56,47,40,56,A3
-0.61,2.56,40,30,54,A3
0.65,0.78,34,33,56,B1
-0.61,2.56,26,45,35,A3
3.27,0.78,31,36,55,D1
0.65,0.78,46,38,54,B1
1.97,0.78,28,38,49,C1
0.65,3.42,31,27,26,B4
1.97,0.78,27,46,53,C1
3.27,0.78,41,34,37,D1
3.27,1.63,40,32,47,D2
0.65,1.63,29,39,45,B2
1.97,2.56,39,48,49,C3
3.27,3.42,28,38,55,D4
3.27,2.56,35,35,47,D3
1.97,2.56,35,40,38,C3
0.65,2.56,40,39,40,B3
1.97,0.78,32,36,55,C1
0.65,3.42,28,39,59,B4
1.97,0.78,26,39,33,C1
1.97,0.78,31,40,44,C1
3.27,3.42,31,36,41,D4
0.65,1.63,43,34,53,B2
0.65,3.42,43,32,49,B4
0.65,2.56,37,31,59,B3
3.27,2.56,34,38,45,D3
3.27,2.56,24,59,43,D3
3.27,2.56,26,39,33,D3
0.65,0.78,43,41,44,B1
3.27,0.78,49,40,56,D1
0.65,0.78,38,51,54,B1
1.97,0.78,29,31,57,C1
0.65,1.63,33,35,30,B2
3.27,0.78,40,34,58,D1
-0.61,3.42,54,42,53,A4
-0.61,2.56,48,39,34,A3
0.65,0.78,33,31,52,B1
3.27,0.78,40,42,43,D1
3.27,0.78,30,37,42,D1
1.97,3.42,43,32,37,C4
1.97,2.56,36,34,43,C3
-0.61,1.63,37,39,54,A2
-0.61,3.42,34,46,53,A4
-0.61,3.42,42,31,53,A4
3.27,1.63,49,31,38,D2
-0.61,2.56,35,42,55,A3
3.27,3.42,43,38,46,D4
1.97,1.63,32,38,44,C2
0.65,1.63,48,35,23,B2
1.97,1.63,41,47,52,C2
1.97,0.78,26,36,58,C1
3.27,1.63,41,33,30,D2
-0.61,1.63,31,57,49,A2
0.65,2.56,31,40,46,B3
3.27,0.78,26,35,36,D1
1.97,0.78,29,31,56,C1
1.97,1.63,40,44,50,C2
0.65,2.56,37,34,39,B3
3.27,3.42,39,30,54,D4
1.97,2.56,35,29,52,C3
1.97,1.63,43,44,35,C2
1.97,1.63,39,32,54,C2
1.97,3.42,39,43,51,C4
3.27,2.56,33,48,36,D3
0.65,0.78,32,30,48,B1
0.65,1.63,30,34,41,B2
-0.61,2.56,37,39,46,A3
0.65,0.78,30,42,52,B1
0.65,0.78,41,38,53,B1
-0.61,2.56,33,34,53,A3
1.97,2.56,37,31,50,C3
3.27,3.42,31,37,44,D4
1.97,2.56,33,31,46,C3
1.97,3.42,33,39,46,C4
0.65,0.78,34,37,60,B1
1.97,2.56,23,33,43,C3
0.65,0.78,24,42,55,B1
0.65,2.56,33,63,42,B3
0.65,2.56,32,42,44,B3
-0.61,3.42,22,40,53,A4
3.27,1.63,25,41,51,D2
-0.61,0.78,30,37,55,A1
-0.61,1.63,35,31,56,A2
3.27,1.63,38,40,55,D2
1.97,0.78,25,38,45,C1
-0.61,1.63,31,42,42,A2
-0.61,3.42,31,40,32,A4
1.97,3.42,52,30,39,C4
0.65,1.63,47,38,39,B2
3.27,0.78,33,49,38,D1
3.27,3.42,47,32,46,D4
3.27,2.56,30,40,33,D3
3.27,2.56,35,43,54,D3
-0.61,1.63,35,51,41,A2
1.97,2.56,42,40,36,C3
1.97,1.63,36,40,49,C2
-0.61,3.42,33,49,32,A4
-0.61,3.42,33,40,54,A4
-0.61,3.42,28,39,54,A4
0.65,3.42,42,27,32,B4
3.27,0.78,27,61,44,D1
-0.61,1.63,31,30,55,A2
-0.61,1.63,21,50,49,A2
1.97,2.56,35,34,48,C3
1.97,3.42,32,40,27,C4
0.65,1.63,49,37,36,B2
-0.61,1.63,33,47,51,A2
1.97,3.42,37,32,32,C4
3.27,0.78,41,40,47,D1
-0.61,2.56,30,37,58,A3
0.65,1.63,31,31,41,B2
3.27,0.78,53,36,53,D1
-0.61,3.42,28,38,55,A4
1.97,3.42,22,46,51,C4
1.97,1.63,35,42,57,C2
1.97,0.78,32,40,30,C1
-0.61,2.56,51,31,46,A3
3.27,1.63,44,38,38,D2
1.97,2.56,44,44,58,C3
0.65,2.56,31,34,54,B3
0.65,0.78,24,40,48,B1
3.27,2.56,35,32,37,D3
-0.61,1.63,29,34,24,A2
0.65,1.63,43,31,58,B2
0.65,3.42,37,40,47,B4
0.65,1.63,32,38,33,B2
0.65,1.63,43,51,52,B2
0.65,0.78,52,44,37,B1
3.27,0.78,32,50,49,D1
3.27,2.56,40,33,44,D3
3.27,1.63,38,35,45,D2
-0.61,1.63,44,41,52,A2
3.27,3.42,34,32,58,D4
1.97,2.56,27,30,43,C3
-0.61,0.78,39,39,42,A1
3.27,0.78,32,33,49,D1
-0.61,3.42,29,36,54,A4
3.27,1.63,27,38,36,D2
3.27,2.56,45,33,42,D3
1.97,1.63,42,32,56,C2
1.97,0.78,45,43,29,C1
3.27,2.56,40,37,35,D3
3.27,2.56,37,34,45,D3
3.27,1.63,29,44,49,D2
-0.61,2.56,23,34,59,A3
-0.61,1.63,27,31,48,A2
3.27,2.56,45,34,33,D3
1.97,1.63,24,36,45,C2
0.65,0.78,23,34,39,B1
3.27,0.78,27,49,55,D1
-0.61,2.56,38,36,58,A3
3.27,3.42,30,37,54,D4
1.97,3.42,23,40,54,C4
1.97,2.56,43,38,44,C3
0.65,0.78,33,37,55,B1
3.27,2.56,35,32,55,D3
-0.61,2.56,26,41,48,A3
1.97,0.78,25,38,32,C1
3.27,3.42,43,28,45,D4
3.27,1.63,45,41,54,D2
1.97,0.78,29,49,37,C1
3.27,2.56,35,35,54,D3
-0.61,2.56,39,36,34,A3
1.97,2.56,52,35,59,C3
0.65,2.56,44,36,44,B3
0.65,2.56,44,31,32,B3
1.97,1.63,29,31,37,C2
0.65,3.42,38,36,51,B4
0.65,2.56,44,30,38,B3
1.97,3.42,39,41,37,C4
-0.61,2.56,35,53,41,A3
3.27,1.63,26,32,27,D2
0.65,0.78,52,31,50,B1
3.27,0.78,33,46,54,D1
1.97,2.56,34,35,49,C3
3.27,1.63,28,38,48,D2
0.65,0.78,39,44,47,B1
3.27,1.63,27,44,43,D2
1.97,3.42,36,40,49,C4
-0.61,3.42,40,37,50,A4
-0.61,3.42,32,38,48,A4
1.97,2.56,29,33,46,C3
-0.61,0.78,40,47,43,A1
3.27,1.63,34,31,40,D2
1.97,0.78,40,41,55,C1
0.65,1.63,35,30,46,B2
0.65,1.63,50,30,57,B2
3.27,3.42,38,32,46,D4
3.27,3.42,44,31,47,D4
0.65,2.56,32,44,56,B3
1.97,0.78,51,31,38,C1
1.97,1.63,25,31,51,C2
1.97,1.63,39,32,51,C2
-0.61,3.42,37,42,41,A4
1.97,2.56,32,35,46,C3
-0.61,3.42,26,45,51,A4
0.65,0.78,34,35,48,B1
1.97,3.42,36,40,54,C4
3.27,3.42,40,32,53,D4
0.65,0.78,30,45,53,B1
0.65,1.63,42,44,36,B2
0.65,0.78,36,34,50,B1
-0.61,3.42,41,38,53,A4
0.65,2.56,24,39,53,B3
1.97,2.56,44,33,46,C3
0.65,3.42,37,31,40,B4
1.97,0.78,23,26,44,C1
-0.61,2.56,35,44,53,A3
-0.61,3.42,51,34,48,A4
3.27,0.78,30,38,33,D1
1.97,0.78,28,32,45,C1
0.65,0.78,40,36,55,B1
3.27,3.42,34,32,46,D4
-0.61,2.56,27,46,53,A3
3.27,2.56,42,35,42,D3
-0.61,2.56,44,41,52,A3
1.97,0.78,35,46,49,C1
0.65,2.56,48,35,42,B3
0.65,2.56,32,40,39,B3
-0.61,0.78,42,46,53,A1
-0.61,1.63,39,41,57,A2
1.97,3.42,35,31,54,C4
-0.61,0.78,30,37,35,A1
0.65,1.63,36,35,47,B2
0.65,3.42,32,32,56,B4
1.97,3.42,25,30,44,C4
0.65,0.78,30,33,38,B1
3.27,1.63,42,32,46,D2
3.27,1.63,34,42,53,D2
3.27,3.42,36,39,35,D4
0.65,0.78,49,31,38,B1
1.97,1.63,33,38,56,C2
1.97,0.78,34,34,44,C1
1.97,0.78,27,37,52,C1
0.65,0.78,24,41,33,B1
-0.61,2.56,50,34,56,A3
3.27,1.63,28,32,39,D2
1.97,3.42,50,33,37,C4
-0.61,3.42,39,40,47,A4
0.65,0.78,31,41,57,B1
-0.61,2.56,39,43,41,A3
1.97,2.56,33,38,27,C3
1.97,3.42,36,28,28,C4
3.27,2.56,48,32,57,D3
0.65,2.56,36,33,50,B3
3.27,1.63,29,43,54,D2
-0.61,3.42,37,42,48,A4
0.65,1.63,38,47,43,B2
1.97,0.78,45,32,54,C1
-0.61,0.78,37,33,58,A1
0.65,3.42,48,42,49,B4
0.65,2.56,29,35,57,B3
-0.61,2.56,37,31,46,A3
3.27,3.42,30,33,60,D4
1.97,0.78,46,36,50,C1
1.97,2.56,37,31,60,C3
1.97,0.78,35,34,47,C1
1.97,1.63,25,41,57,C2
-0.61,2.56,32,37,39,A3
3.27,0.78,32,42,44,D1
1.97,1.63,29,55,44,C2
-0.61,1.63,37,33,52,A2
3.27,3.42,31,40,39,D4
3.27,0.78,27,31,44,D1
-0.61,3.42,45,36,45,A4
0.65,2.56,49,33,60,B3
-0.61,2.56,34,40,49,A3
3.27,2.56,32,31,58,D3
1.97,1.63,38,32,55,C2
0.65,2.56,36,34,45,B3
-0.61,1.63,33,31,50,A2
1.97,3.42,27,40,55,C4
1.97,2.56,36,38,49,C3
3.27,1.63,34,37,54,D2
0.65,1.63,40,36,46,B2
3.27,0.78,27,35,35,D1
-0.61,1.63,29,42,39,A2
-0.61,3.42,25,34,43,A4
0.65,1.63,29,35,28,B2
1.97,0.78,41,38,31,C1
1.97,2.56,28,43,40,C3
1.97,3.42,39,31,42,C4
-0.61,3.42,27,41,36,A4
3.27,3.42,36,34,54,D4
3.27,2.56,23,49,59,D3
0.65,1.63,30,48,51,B2
-0.61,2.56,27,30,41,A3
-0.61,2.56,32,37,51,A3
1.97,2.56,53,35,53,C3
1.97,0.78,46,35,48,C1
3.27,2.56,34,35,57,D3
3.27,2.56,38,34,53,D3
-0.61,0.78,52,30,58,A1
-0.61,3.42,43,33,51,A4
1.97,2.56,43,43,43,C3
-0.61,3.42,47,34,52,A4
-0.61,0.78,37,35,57,A1
0.65,0.78,44,44,54,B1
3.27,3.42,35,40,43,D4
-0.61,3.42,32,38,45,A4
3.27,1.63,31,48,49,D2
3.27,2.56,44,41,54,D3
0.65,2.56,48,44,52,B3
3.27,3.42,38,42,34,D4
3.27,0.78,35,31,57,D1
3.27,0.78,37,33,59,D1
1.97,3.42,42,26,57,C4
-0.61,1.63,26,32,36,A2
0.65,3.42,36,38,50,B4
-0.61,2.56,31,51,58,A3
0.65,1.63,39,38,50,B2
0.65,0.78,33,41,41,B1
1.97,2.56,44,42,54,C3
-0.61,0.78,27,57,43,A1
0.65,3.42,39,41,43,B4
3.27,3.42,41,30,42,D4
1.97,0.78,43,45,45,C1
-0.61,3.42,43,38,48,A4
0.65,3.42,45,32,43,B4
1.97,2.56,46,39,59,C3
1.97,0.78,47,32,44,C1
-0.61,0.78,26,31,50,A1
3.27,1.63,34,40,43,D2
1.97,1.63,33,30,47,C2
0.65,0.78,37,39,55,B1
1.97,2.56,39,40,40,C3
3.27,0.78,30,31,55,D1
0.65,2.56,36,40,49,B3
0.65,0.78,42,40,52,B1
0.65,3.42,44,34,59,B4
1.97,0.78,28,38,53,C1
3.27,0.78,30,45,33,D1
-0.61,2.56,51,32,35,A3
3.27,0.78,48,33,30,D1
0.65,1.63,48,32,46,B2
1.97,1.63,30,44,38,C2
0.65,0.78,44,36,50,B1
-0.61,1.63,25,42,55,A2
1.97,2.56,42,42,52,C3
1.97,0.78,27,34,58,C1
3.27,3.42,27,33,55,D4
-0.61,0.78,30,36,28,A1
-0.61,0.78,30,42,44,A1
3.27,1.63,47,38,48,D2
3.27,0.78,48,30,57,D1
0.65,0.78,41,38,48,B1
0.65,2.56,43,30,58,B3
-0.61,3.42,29,34,37,A4
-0.61,0.78,47,32,40,A1
1.97,3.42,34,31,46,C4
1.97,0.78,22,47,52,C1
1.97,3.42,46,35,46,C4
0.65,2.56,39,32,52,B3
1.97,1.63,45,42,44,C2
0.65,0.78,29,32,41,B1
3.27,0.78,43,53,50,D1
-0.61,1.63,38,41,51,A2
-0.61,3.42,30,32,50,A4
1.97,1.63,36,36,30,C2
0.65,2.56,43,38,38,B3
0.65,0.78,36,40,57,B1
0.65,3.42,42,35,60,B4
3.27,3.42,26,46,37,D4
3.27,2.56,40,40,35,D3
1.97,2.56,36,32,54,C3
3.27,3.42,25,42,57,D4
0.65,0.78,37,32,60,B1
-0.61,1.63,28,42,45,A2
1.97,3.42,38,34,52,C4
0.65,2.56,40,42,33,B3
1.97,0.78,34,35,35,C1
1.97,0.78,33,34,46,C1
1.97,1.63,42,33,35,C2
0.65,2.56,26,48,52,B3
-0.61,2.56,49,39,57,A3
-0.61,1.63,30,35,37,A2
-0.61,0.78,43,34,36,A1
3.27,0.78,37,43,50,D1
3.27,2.56,25,31,46,D3
1.97,2.56,25,31,39,C3
-0.61,2.56,33,39,47,A3
0.65,2.56,29,44,47,B3
1.97,3.42,39,58,40,C4
