x,y,RSSIA,RSSIB,RSSIC,RP
0.55,0.64,41,54,64,A1
2.77,3.17,37,50,65,C1
3.88,3.17,56,59,52,C4
2.77,0.64,51,43,63,B3
3.88,3.17,53,48,51,C4
2.77,3.17,47,50,63,C1
1.66,3.17,40,59,44,B2
1.66,3.17,41,61,38,B2
3.88,1.9,50,58,52,C3
2.77,1.9,44,66,51,B4
2.77,0.64,44,54,59,B3
1.66,3.17,40,57,37,B2
2.77,1.9,51,56,54,B4
3.88,3.17,54,56,51,C4
0.55,0.64,51,43,63,A1
1.66,0.64,50,45,64,A4
2.77,0.64,50,49,62,B3
3.88,3.17,55,55,51,C4
3.88,3.17,56,55,50,C4
2.77,0.64,44,46,62,B3
3.88,3.17,40,62,50,C4
3.88,1.9,54,56,50,C3
3.88,1.9,40,47,51,C3
0.55,1.9,39,55,43,A2
0.55,1.9,41,56,51,A2
0.55,0.64,45,44,67,A1
2.77,0.64,53,48,62,B3
3.88,0.64,40,45,51,C2
2.77,3.17,37,51,60,C1
2.77,1.9,50,57,55,B4
1.66,3.17,40,59,42,B2
2.77,0.64,51,45,62,B3
3.88,1.9,39,48,51,C3
2.77,0.64,52,42,55,B3
3.88,1.9,46,45,50,C3
3.88,3.17,42,60,51,C4
1.66,3.17,40,61,42,B2
2.77,3.17,39,58,55,C1
3.88,3.17,54,62,52,C4
2.77,3.17,52,59,63,C1
2.77,3.17,49,51,56,C1
3.88,1.9,55,44,52,C3
2.77,3.17,43,51,62,C1
0.55,0.64,54,44,63,A1
2.77,1.9,49,51,56,B4
2.77,0.64,53,44,59,B3
0.55,1.9,41,57,61,A2
3.88,0.64,41,48,51,C2
1.66,3.17,43,62,41,B2
3.88,3.17,54,55,51,C4
0.55,0.64,55,53,62,A1
2.77,0.64,49,46,61,B3
1.66,1.9,40,44,59,B1
0.55,1.9,49,49,56,A2
2.77,0.64,50,48,63,B3
3.88,3.17,56,56,51,C4
2.77,1.9,50,52,55,B4
2.77,0.64,53,46,60,B3
2.77,1.9,44,50,54,B4
3.88,0.64,43,47,54,C2
2.77,3.17,42,52,64,C1
0.55,0.64,51,45,64,A1
1.66,1.9,46,63,37,B1
2.77,0.64,44,44,64,B3
0.55,0.64,53,44,61,A1
1.66,1.9,41,60,48,B1
2.77,0.64,46,40,58,B3
3.88,3.17,56,54,52,C4
3.88,3.17,54,54,51,C4
2.77,0.64,50,43,62,B3
2.77,0.64,54,44,65,B3
3.88,3.17,43,58,50,C4
0.55,0.64,50,45,65,A1
3.88,3.17,54,60,51,C4
0.55,0.64,49,43,61,A1
3.88,0.64,44,46,50,C2
3.88,1.9,46,49,51,C3
2.77,3.17,45,50,63,C1
3.88,3.17,57,61,52,C4
0.55,1.9,37,59,57,A2
2.77,3.17,50,49,63,C1
3.88,3.17,55,55,50,C4
2.77,3.17,49,50,62,C1
2.77,1.9,50,45,61,B4
3.88,3.17,55,53,51,C4
2.77,0.64,57,42,64,B3
2.77,1.9,41,51,54,B4
3.88,3.17,57,55,52,C4
3.88,3.17,55,56,51,C4
3.88,1.9,39,57,49,C3
2.77,3.17,49,50,57,C1
3.88,1.9,43,46,50,C3
2.77,1.9,46,42,40,B4
2.77,3.17,48,50,55,C1
3.88,3.17,55,62,51,C4
3.88,0.64,53,48,66,C2
0.55,0.64,51,42,65,A1
2.77,1.9,46,60,55,B4
0.55,0.64,49,46,62,A1
3.88,3.17,53,62,52,C4
2.77,0.64,54,43,62,B3
3.88,3.17,54,61,52,C4
0.55,1.9,42,55,55,A2
2.77,3.17,41,50,62,C1
3.88,3.17,54,57,53,C4
3.88,1.9,50,51,50,C3
3.88,1.9,44,47,50,C3
2.77,1.9,43,54,55,B4
3.88,0.64,57,45,64,C2
3.88,1.9,48,60,50,C3
2.77,1.9,44,51,64,B4
3.88,1.9,54,46,51,C3
2.77,3.17,43,53,47,C1
2.77,1.9,47,57,54,B4
2.77,0.64,51,45,64,B3
3.88,3.17,57,63,51,C4
0.55,0.64,42,44,63,A1
0.55,1.9,52,56,50,A2
1.66,3.17,40,63,45,B2
2.77,3.17,51,49,61,C1
3.88,1.9,43,46,51,C3
0.55,0.64,49,44,63,A1
3.88,1.9,39,45,50,C3
0.55,1.9,43,58,63,A2
0.55,0.64,43,45,65,A1
2.77,3.17,53,49,64,C1
2.77,1.9,40,55,66,B4
3.88,0.64,44,48,51,C2
2.77,3.17,40,51,56,C1
2.77,3.17,41,49,55,C1
1.66,1.9,46,56,43,B1
3.88,3.17,58,54,55,C4
2.77,1.9,43,56,48,B4
3.88,3.17,57,56,51,C4
3.88,3.17,55,54,51,C4
3.88,1.9,47,46,50,C3
0.55,0.64,42,45,63,A1
0.55,0.64,55,46,49,A1
3.88,0.64,54,44,50,C2
0.55,0.64,51,42,63,A1
3.88,1.9,45,44,54,C3
0.55,0.64,57,45,62,A1
2.77,1.9,48,49,55,B4
3.88,1.9,54,45,50,C3
0.55,0.64,54,42,65,A1
2.77,0.64,49,46,44,B3
2.77,0.64,53,42,60,B3
0.55,0.64,54,45,61,A1
2.77,3.17,47,57,63,C1
1.66,3.17,43,50,45,B2
3.88,3.17,56,55,50,C4
1.66,1.9,40,56,43,B1
0.55,0.64,46,47,63,A1
1.66,3.17,37,56,46,B2
2.77,0.64,53,44,63,B3
3.88,3.17,54,56,52,C4
0.55,0.64,56,43,66,A1
3.88,1.9,55,46,52,C3
2.77,3.17,46,50,55,C1
3.88,1.9,47,47,49,C3
0.55,0.64,48,47,63,A1
3.88,1.9,55,49,51,C3
3.88,3.17,56,58,50,C4
0.55,1.9,40,52,56,A2
1.66,3.17,41,61,43,B2
2.77,3.17,47,56,56,C1
0.55,1.9,40,61,66,A2
0.55,1.9,37,54,57,A2
0.55,0.64,42,42,62,A1
2.77,1.9,47,51,43,B4
2.77,0.64,53,43,60,B3
2.77,1.9,45,55,56,B4
0.55,1.9,39,52,53,A2
0.55,0.64,57,44,62,A1
3.88,1.9,50,48,50,C3
2.77,3.17,46,54,65,C1
2.77,3.17,48,50,65,C1
3.88,3.17,55,56,51,C4
2.77,3.17,50,50,56,C1
0.55,0.64,55,42,67,A1
3.88,1.9,46,56,51,C3
0.55,0.64,54,42,65,A1
0.55,0.64,45,47,64,A1
3.88,1.9,42,48,55,C3
0.55,1.9,44,54,56,A2
2.77,1.9,51,60,56,B4
0.55,1.9,47,57,54,A2
2.77,1.9,45,50,54,B4
3.88,0.64,46,43,63,C2
0.55,1.9,40,51,67,A2
2.77,1.9,47,50,66,B4
1.66,1.9,40,49,49,B1
3.88,3.17,55,54,51,C4
2.77,0.64,54,45,64,B3
2.77,0.64,50,44,55,B3
2.77,3.17,45,51,55,C1
0.55,1.9,44,55,50,A2
3.88,1.9,44,46,37,C3
0.55,0.64,54,41,62,A1
2.77,1.9,42,50,55,B4
2.77,1.9,50,54,55,B4
3.88,1.9,46,46,50,C3
2.77,1.9,45,51,59,B4
0.55,1.9,41,53,55,A2
3.88,1.9,54,48,51,C3
2.77,3.17,50,50,57,C1
0.55,0.64,49,43,65,A1
2.77,0.64,53,47,62,B3
1.66,1.9,40,60,36,B1
2.77,0.64,52,45,63,B3
0.55,0.64,56,41,56,A1
3.88,3.17,57,52,52,C4
2.77,3.17,46,49,64,C1
2.77,3.17,49,51,63,C1
2.77,0.64,51,46,65,B3
0.55,1.9,48,57,41,A2
3.88,0.64,47,47,52,C2
0.55,0.64,49,42,56,A1
2.77,0.64,51,43,44,B3
3.88,0.64,47,56,62,C2
1.66,3.17,42,59,39,B2
0.55,1.9,37,54,48,A2
0.55,1.9,41,54,57,A2
1.66,0.64,49,42,66,A4
3.88,3.17,56,57,53,C4
3.88,1.9,56,48,50,C3
3.88,3.17,59,58,51,C4
1.66,3.17,42,61,44,B2
2.77,1.9,50,51,40,B4
2.77,0.64,48,46,64,B3
3.88,3.17,55,59,52,C4
2.77,0.64,45,48,55,B3
0.55,1.9,41,55,58,A2
0.55,1.9,50,55,64,A2
2.77,0.64,53,43,59,B3
1.66,3.17,39,57,49,B2
3.88,1.9,41,47,50,C3
1.66,3.17,42,59,36,B2
3.88,3.17,47,55,51,C4
2.77,3.17,48,50,52,C1
0.55,1.9,45,55,54,A2
2.77,3.17,49,49,64,C1
0.55,0.64,49,43,67,A1
3.88,0.64,56,40,63,C2
2.77,0.64,52,47,54,B3
3.88,1.9,43,47,50,C3
0.55,0.64,45,42,54,A1
3.88,1.9,39,48,50,C3
3.88,3.17,58,50,52,C4
3.88,3.17,58,56,51,C4
0.55,1.9,42,57,58,A2
0.55,0.64,44,40,65,A1
3.88,3.17,57,54,53,C4
3.88,3.17,46,44,51,C4
2.77,3.17,50,49,61,C1
0.55,1.9,44,53,57,A2
3.88,1.9,51,45,49,C3
3.88,3.17,55,57,51,C4
2.77,1.9,47,44,63,B4
2.77,3.17,46,50,62,C1
3.88,3.17,57,55,52,C4
2.77,0.64,51,43,65,B3
3.88,3.17,56,61,51,C4
3.88,3.17,55,55,51,C4
1.66,1.9,46,60,51,B1
3.88,1.9,52,48,50,C3
3.88,3.17,57,53,50,C4
3.88,1.9,39,45,50,C3
2.77,1.9,52,50,55,B4
0.55,0.64,57,42,63,A1
2.77,1.9,52,50,55,B4
2.77,0.64,50,44,58,B3
0.55,1.9,45,53,55,A2
2.77,1.9,47,56,62,B4
1.66,3.17,42,55,41,B2
0.55,0.64,53,47,60,A1
1.66,1.9,42,55,53,B1
3.88,3.17,55,56,51,C4
3.88,3.17,56,55,50,C4
0.55,1.9,42,54,55,A2
2.77,3.17,50,51,63,C1
2.77,0.64,53,47,62,B3
2.77,0.64,53,46,62,B3
2.77,0.64,49,43,56,B3
3.88,0.64,41,45,51,C2
0.55,0.64,49,44,55,A1
0.55,0.64,40,43,65,A1
0.55,0.64,54,44,62,A1
3.88,1.9,41,48,52,C3
2.77,1.9,48,56,54,B4
2.77,1.9,49,57,57,B4
0.55,0.64,51,43,63,A1
2.77,1.9,41,54,55,B4
2.77,0.64,50,46,57,B3
1.66,1.9,51,51,55,B1
1.66,3.17,45,60,44,B2
0.55,0.64,46,44,62,A1
2.77,3.17,45,50,64,C1
3.88,0.64,52,45,50,C2
3.88,1.9,46,50,54,C3
3.88,3.17,56,53,52,C4
3.88,1.9,42,49,52,C3
1.66,0.64,42,45,61,A4
1.66,3.17,39,54,33,B2
2.77,0.64,51,45,61,B3
0.55,1.9,45,55,55,A2
3.88,1.9,48,45,51,C3
3.88,3.17,56,55,65,C4
3.88,1.9,54,59,51,C3
2.77,3.17,45,50,62,C1
2.77,3.17,50,50,62,C1
3.88,1.9,54,46,50,C3
3.88,1.9,42,46,50,C3
0.55,0.64,50,42,65,A1
2.77,1.9,48,51,42,B4
3.88,3.17,55,55,50,C4
2.77,1.9,40,59,55,B4
3.88,3.17,46,46,50,C4
1.66,3.17,44,59,42,B2
1.66,3.17,41,59,44,B2
2.77,1.9,48,50,56,B4
0.55,0.64,56,44,65,A1
3.88,1.9,41,47,51,C3
2.77,3.17,42,57,54,C1
2.77,3.17,45,52,41,C1
3.88,1.9,43,50,50,C3
0.55,0.64,52,43,64,A1
2.77,1.9,49,58,60,B4
0.55,1.9,51,57,56,A2
3.88,1.9,50,47,50,C3
0.55,1.9,47,56,55,A2
0.55,1.9,46,53,55,A2
0.55,0.64,50,43,62,A1
0.55,1.9,43,47,54,A2
1.66,3.17,54,59,38,B2
3.88,1.9,45,46,51,C3
2.77,3.17,48,52,61,C1
2.77,0.64,46,46,63,B3
3.88,3.17,56,56,50,C4
2.77,0.64,48,49,57,B3
0.55,0.64,50,42,60,A1
0.55,0.64,42,43,64,A1
2.77,3.17,40,50,64,C1
3.88,1.9,52,55,50,C3
2.77,0.64,51,50,64,B3
1.66,0.64,47,44,61,A4
3.88,1.9,45,56,54,C3
2.77,3.17,47,51,64,C1
3.88,1.9,54,48,51,C3
3.88,1.9,42,50,50,C3
2.77,3.17,47,54,66,C1
2.77,3.17,43,50,54,C1
0.55,0.64,53,46,63,A1
3.88,1.9,47,48,40,C3
3.88,1.9,43,47,50,C3
0.55,0.64,44,57,63,A1
0.55,0.64,55,44,63,A1
3.88,0.64,48,47,52,C2
0.55,1.9,49,48,60,A2
2.77,3.17,42,49,61,C1
2.77,0.64,48,47,59,B3
2.77,1.9,48,50,48,B4
0.55,1.9,40,55,56,A2
2.77,3.17,48,43,63,C1
3.88,1.9,41,47,51,C3
1.66,3.17,40,57,51,B2
1.66,3.17,38,53,33,B2
2.77,0.64,51,43,64,B3
2.77,0.64,51,43,63,B3
1.66,3.17,40,62,51,B2
3.88,0.64,51,42,61,C2
0.55,0.64,46,46,65,A1
0.55,1.9,51,55,61,A2
2.77,1.9,44,55,54,B4
3.88,3.17,55,55,50,C4
0.55,1.9,43,54,38,A2
1.66,3.17,42,55,35,B2
2.77,1.9,48,49,65,B4
3.88,1.9,41,46,51,C3
3.88,3.17,51,56,52,C4
3.88,1.9,42,46,52,C3
2.77,0.64,43,45,61,B3
3.88,0.64,55,46,62,C2
3.88,1.9,48,43,50,C3
0.55,0.64,56,42,59,A1
3.88,1.9,42,46,50,C3
0.55,0.64,40,44,64,A1
0.55,0.64,51,54,56,A1
2.77,0.64,49,49,62,B3
2.77,3.17,53,51,55,C1
2.77,0.64,42,51,62,B3
2.77,3.17,56,51,61,C1
1.66,3.17,39,64,45,B2
3.88,0.64,53,46,51,C2
2.77,0.64,43,44,62,B3
3.88,3.17,55,55,50,C4
3.88,3.17,56,54,51,C4
0.55,0.64,50,56,62,A1
2.77,0.64,47,43,63,B3
2.77,0.64,50,47,60,B3
3.88,3.17,50,54,52,C4
0.55,1.9,42,55,56,A2
3.88,1.9,40,45,51,C3
3.88,1.9,48,46,51,C3
2.77,0.64,53,43,54,B3
1.66,3.17,42,59,41,B2
2.77,1.9,49,45,55,B4
0.55,0.64,45,42,62,A1
3.88,0.64,49,44,52,C2
3.88,1.9,46,47,51,C3
0.55,0.64,55,49,62,A1
0.55,0.64,46,41,64,A1
1.66,1.9,39,47,56,B1
1.66,1.9,46,56,61,B1
3.88,1.9,41,43,33,C3
3.88,0.64,44,45,51,C2
3.88,1.9,53,48,50,C3
2.77,0.64,52,44,61,B3
0.55,0.64,56,44,62,A1
0.55,1.9,42,54,63,A2
1.66,0.64,49,43,61,A4
0.55,1.9,43,57,59,A2
2.77,0.64,45,47,60,B3
2.77,0.64,52,46,63,B3
3.88,3.17,55,61,51,C4
2.77,0.64,52,42,62,B3
3.88,3.17,56,58,52,C4
3.88,3.17,57,60,51,C4
0.55,1.9,51,57,56,A2
3.88,1.9,42,45,51,C3
2.77,0.64,51,41,64,B3
3.88,1.9,43,55,43,C3
3.88,0.64,45,43,39,C2
2.77,3.17,49,49,62,C1
2.77,1.9,46,54,61,B4
0.55,1.9,48,54,60,A2
3.88,1.9,46,48,50,C3
3.88,1.9,52,46,51,C3
2.77,1.9,45,57,53,B4
1.66,0.64,56,45,58,A4
3.88,3.17,57,50,51,C4
3.88,0.64,57,43,50,C2
2.77,1.9,51,55,61,B4
3.88,1.9,44,44,50,C3
0.55,1.9,40,54,68,A2
0.55,1.9,50,57,51,A2
2.77,1.9,47,42,62,B4
2.77,1.9,48,53,56,B4
3.88,1.9,43,55,55,C3
3.88,0.64,48,43,64,C2
0.55,1.9,49,56,55,A2
3.88,1.9,40,48,50,C3
2.77,0.64,58,46,63,B3
2.77,0.64,52,45,61,B3
3.88,0.64,46,47,51,C2
2.77,0.64,50,48,60,B3
2.77,3.17,45,54,66,C1
2.77,0.64,54,43,64,B3
3.88,3.17,58,44,51,C4
0.55,0.64,46,45,62,A1
0.55,1.9,39,56,58,A2
0.55,0.64,55,42,65,A1
3.88,1.9,49,48,51,C3
3.88,3.17,57,52,52,C4
2.77,0.64,45,42,59,B3
0.55,0.64,48,45,62,A1
0.55,0.64,56,40,65,A1
1.66,1.9,48,55,57,B1
2.77,3.17,52,51,55,C1
2.77,0.64,52,44,61,B3
2.77,1.9,50,51,56,B4
2.77,0.64,54,41,59,B3
1.66,1.9,50,44,50,B1
2.77,3.17,41,60,64,C1
0.55,0.64,48,43,59,A1
2.77,0.64,48,43,64,B3
3.88,1.9,49,49,51,C3
3.88,3.17,56,60,50,C4
0.55,1.9,37,62,54,A2
0.55,0.64,48,42,66,A1
2.77,0.64,47,40,65,B3
3.88,1.9,42,47,51,C3
2.77,3.17,48,51,64,C1
2.77,3.17,40,51,56,C1
3.88,1.9,44,47,50,C3
3.88,0.64,52,48,62,C2
2.77,0.64,48,45,62,B3
2.77,0.64,45,43,60,B3
3.88,3.17,58,55,50,C4
0.55,0.64,45,42,65,A1
2.77,0.64,45,42,61,B3
2.77,0.64,53,46,60,B3
1.66,0.64,51,42,63,A4
3.88,3.17,55,55,52,C4
1.66,1.9,40,63,39,B1
1.66,3.17,38,60,40,B2
2.77,3.17,42,56,64,C1
2.77,3.17,49,49,51,C1
3.88,3.17,57,61,50,C4
3.88,0.64,52,47,55,C2
2.77,0.64,50,46,56,B3
2.77,0.64,55,44,65,B3
0.55,0.64,50,45,64,A1
1.66,1.9,38,51,44,B1
0.55,1.9,44,56,66,A2
1.66,3.17,36,62,45,B2
2.77,3.17,51,52,63,C1
0.55,1.9,43,55,54,A2
0.55,0.64,45,45,62,A1
0.55,1.9,41,57,52,A2
0.55,0.64,56,42,66,A1
0.55,1.9,41,55,58,A2
3.88,1.9,44,56,52,C3
3.88,1.9,47,41,55,C3
3.88,1.9,47,45,56,C3
2.77,0.64,50,50,59,B3
0.55,1.9,51,53,56,A2
0.55,0.64,56,47,64,A1
2.77,1.9,52,50,62,B4
2.77,1.9,49,58,55,B4
0.55,3.17,43,49,53,A3
2.77,1.9,44,51,61,B4
0.55,1.9,43,55,53,A2
0.55,0.64,50,45,60,A1
1.66,0.64,40,64,43,A4
2.77,0.64,44,41,61,B3
1.66,3.17,46,57,42,B2
2.77,3.17,47,51,67,C1
2.77,1.9,43,57,56,B4
0.55,0.64,43,44,63,A1
2.77,1.9,47,46,56,B4
3.88,3.17,57,55,50,C4
2.77,0.64,51,42,55,B3
1.66,3.17,40,51,39,B2
2.77,3.17,50,48,62,C1
3.88,3.17,57,53,52,C4
2.77,1.9,49,46,56,B4
3.88,1.9,42,49,49,C3
2.77,0.64,51,44,56,B3
3.88,1.9,57,43,50,C3
3.88,3.17,55,55,50,C4
3.88,0.64,45,47,55,C2
0.55,0.64,51,41,67,A1
2.77,3.17,50,50,65,C1
2.77,0.64,52,44,64,B3
3.88,3.17,55,50,61,C4
3.88,3.17,56,54,51,C4
2.77,1.9,51,56,54,B4
3.88,3.17,54,54,51,C4
0.55,1.9,43,51,50,A2
3.88,3.17,56,65,50,C4
2.77,1.9,52,44,60,B4
2.77,1.9,43,54,38,B4
2.77,1.9,50,52,67,B4
0.55,0.64,57,58,64,A1
2.77,0.64,47,42,68,B3
0.55,0.64,42,42,65,A1
2.77,0.64,55,50,67,B3
0.55,0.64,51,49,62,A1
0.55,0.64,53,43,63,A1
3.88,3.17,53,44,51,C4
0.55,0.64,55,48,62,A1
2.77,3.17,50,67,63,C1
2.77,3.17,49,50,61,C1
3.88,3.17,55,55,50,C4
3.88,1.9,43,48,50,C3
0.55,1.9,42,48,58,A2
3.88,1.9,49,47,50,C3
0.55,1.9,47,55,55,A2
2.77,0.64,51,43,63,B3
3.88,3.17,59,54,51,C4
3.88,1.9,42,42,50,C3
3.88,3.17,56,55,51,C4
1.66,1.9,39,46,46,B1
2.77,3.17,48,48,60,C1
